Name,Type,City,Address,Latitude,Longitude,Price(Rs.),Time
Db City Mall,mall,Bhopal,Arera Hills  M.P  Bhopal 941735  Madhya Pradesh,23.232622,77.402596,0,2 hour 30 min
Gond Tribal Arts,art gallery,Bhopal,E/2  101  Bhopal 462016  Madhya Pradesh,23.219447,77.436297,150,3 hour 30 min
Govt Veterinary. Hospital,monument,Bhopal,941735,23.242079,77.416312,100,4 hour 10 min
Gurudwara,temple,Bhopal,Idhga Hils  271516,23.271455,77.386219,50,2 hour
Holy Redeemer's Church,church,Bhopal,Railway Colony  Bhopal 266331  Madhya Pradesh,23.266456,77.419949,0,1 hour
Indira Gandhi Rashtriya Manav Sangrahalaya,museum,Bhopal,Shymala Hills  Bhopal 462013  Madhya Pradesh,23.232123,77.37756,200,4 hour 10 min
Kamla Park,park,Bhopal,Kamla Park Road (Krishna Nagar  Shymala Hills  Professors Colony)  Bhopal 462001  Madhya Pradesh,23.251913,77.39751,75,2 hour
Khushboo Park,park,Bhopal,Bhopal 068581  Madhya Pradesh,23.246751,77.39486,130,2 hour
KR Architecture Studio,art gallery,Bhopal,202 Vijay Sthambh Zone-2  Mp  Bhopal  Madhya Pradesh,23.250231,77.420145,200,2 hour 50 min
M.P.State Biodiversity Board,monument,Bhopal,941735,23.240541,77.424639,110,3 hour
Maharana Pratap Statue,monument,Bhopal,Opposite Jyoti Cineplex  Zone 1  Mp  Bhopal 462016  Madhya Pradesh,23.233529,77.433934,90,5 hour 10 min
Mayur Park,park,Bhopal,Link Road 1 (Tulsinagar)  Bhopal 462003  Madhya Pradesh,23.231477,77.418851,150,2 hour
Neelkanth Park,park,Bhopal,385685,23.272023,77.385582,100,2 hour
Peergate Mata Mandir,temple,Bhopal,Bhopal 462001  Madhya Pradesh,23.259256,77.39859,50,2 hour
Radha Krishna Mandir,temple,Bhopal,Koh-e-Fiza  Bhopal 462045  Madhya Pradesh,23.267706,77.377675,50,3 hour
Raja Bhoj Statue,monument,Bhopal,941735,23.246445,77.396958,80,3 hour 30 min
Roop Kumar Stores,mall,Bhopal,2 Ghora Nakkas  Bhopal 462001  Madhya Pradesh,23.262736,77.405204,0,2 hour 30 min
Sai Mandir,temple,Bhopal,Shastri (Jawahar Chowk)  Bhopal 462010  Madhya Pradesh,23.237924,77.387254,50,2 hour 40 min
Sair Sapata,amusement park,Bhopal,On The Banks Of Upper Lake  Bhopal 462044  Madhya Pradesh,23.216348,77.376043,360,3 hour 36 min
SBI KoheFiza,monument,Bhopal,Koh-e-Fiza  941735,23.267924,77.377489,100,3 hour 30 min
St Johns Church,church,Bhopal,Nh 12 (govindpura)  Bhopal  Madhya Pradesh,23.237743,77.441883,0,1 hour
St Thomas Church,church,Bhopal,700016  Maharashtra,23.247292,77.41236,0,1 hour
St. Johns Church,church,Bhopal,Govindpura  238222,23.238174,77.445783,0,1 hour
St. Peters Marthoma Church,church,Bhopal,Subhash  Bhopal  Madhya Pradesh,23.24366,77.434278,0,1 hour
State Museum,museum,Bhopal,Shamla Hills  Tt  Bhopal 462002  Madhya Pradesh,23.235522,77.385792,100,3 hour 30 min
State Museum / Rajya Sanghralya,museum,Bhopal,,23.234409,77.385139,130,5 hour 10 min
State Museum of Madhya Pradesh,museum,Bhopal,Bhopal 242371  Madhya Pradesh,23.246953,77.395548,180,3 hour 20 min
Van Vihar National Park,park,Bhopal,Bhadbhada  Bhopal  Madhya Pradesh,23.23543,77.365823,125,2 hour
Vishal Mega Mart,mall,Bhopal,Berasia Road  Qazi Camp  Raj Deo Colony  Congress (Near Reliance Petrol Pump  JP Nagar)  Bhopal 941735  Madhya Pradesh,23.274281,77.402664,0,2 hour 30 min
20 Sector Park,park,Chandigarh,N/A,30.723682,76.788151,50,2 hour
All Rise Birthday Party Planner,museum,Chandigarh,Chandigarh 160002  Chandigarh,30.719454,76.764258,150,4 hour 20 min
Baptist Church,church,Chandigarh,Sector- 44  Chandigarh  Chandigarh,30.709765,76.751626,0,1 hour
Bombay Circus,amusement park,Chandigarh,,30.708612,76.835345,360,3 hour 36 min
Centra Mall,mall,Chandigarh,Industrial Area Phase 1 (Chandigarh)  Chandigarh 941735  Chandigarh,30.706732,76.796282,0,2 hour 30 min
Chandigarh Architecture Museum,museum,Chandigarh,Sector 10  Chandigarh 941735  Chandigarh,30.748175,76.786886,220,4 hour 20 min
City Centre DLF,mall,Chandigarh,It Park Road  Chandigarh 160101  Chandigarh,30.728761,76.845236,0,2 hour 30 min
City Emporium Mall,mall,Chandigarh,Phase 1  Chandigarh 160002  Chandigarh,30.709694,76.800935,0,2 hour 30 min
CNI Church,church,Chandigarh,Sector 18  Chandigarh  Chandigarh,30.734174,76.7871,0,1 hour
CTH Studios,amusement park,Chandigarh,742722,30.742799,76.745053,320,3 hour 32 min
Eiffel Tower Replica  Sector 10C,monument,Chandigarh,Sector 10C (CITCO Road  Madhya Marg)  Chandigarh 160011  Chandigarh,30.748779,76.785536,100,3 hour 30 min
Elante Mall,mall,Chandigarh,Industrial Area Phase 1  Chd (Industrial Area)  Chandigarh 160002  Chandigarh,30.705513,76.801097,0,2 hour 30 min
